feature1,feature2,pair_ig_mean,pair_ig_std,pair_ig_count,f1_ig_mean,f2_ig_mean,mean_individual_ig,ig_difference_raw,ig_difference_pct
Blautia_massiliensis,PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I,60.2674560546875,1.5101149516371675,6,5.199951171875,0.5306396484375,2.86529541015625,57.40216064453125,95.24570041988126
Intestinibacter_SGB6139,PWY0-1479:_tRNA_processing,59.655517578125,0.0,3,4.4853515625,1.193359375,2.83935546875,56.816162109375,95.2404143254116
PWY-5656:_mannosylglycerate_biosynthesis_I,PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis,67.158447265625,0.0,3,1.031494140625,5.89306640625,3.4622802734375,63.6961669921875,94.84460940595679
PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I,NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),53.62353515625,0.0,3,2.021484375,3.72509765625,2.873291015625,50.750244140625,94.64173518725927
GLUCARGALACTSUPER-PWY:_superpathway_of_D-glucarate_and_D-galactarate_degradation,OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),63.578857421875,0.0,3,2.9072265625,4.13330078125,3.520263671875,60.05859375,94.46315361014366
PWY-5656:_mannosylglycerate_biosynthesis_I,Eisenbergiella_massiliensis,56.4515380859375,4.861171419185864,6,0.245361328125,6.189697265625,3.217529296875,53.2340087890625,94.30036912018787
GLUDEG-I-PWY:_GABA_shunt,GLUCARDEG-PWY:_D-glucarate_degradation_I,46.249755859375,0.0,3,2.0390625,3.24365234375,2.641357421875,43.6083984375,94.28892677854085
PWY-5896:_superpathway_of_menaquinol-10_biosynthesis,NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),71.3232421875,0.0,3,4.6171875,3.72509765625,4.171142578125,67.152099609375,94.15177654549188
GLUCOSE1PMETAB-PWY:_glucose_and_glucose-1-phosphate_degradation,PWY-8073:_lipid_IVA_biosynthesis_(P._putida),50.23828125,0.0,3,2.041748046875,4.249755859375,3.145751953125,47.092529296875,93.73833683228365
PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I,PWY-5505:_L-glutamate_and_L-glutamine_biosynthesis,49.619384765625,0.0,3,0.0146484375,6.477294921875,3.2459716796875,46.3734130859375,93.45825891429386
PWY-8073:_lipid_IVA_biosynthesis_(P._putida),PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation,74.61669921875,0.0,3,4.249755859375,5.51953125,4.8846435546875,69.7320556640625,93.45368582927068
PWY66-409:_superpathway_of_purine_nucleotide_salvage,Streptococcus_salivarius,55.89208984375,0.0,3,4.93359375,2.7646484375,3.84912109375,52.04296875,93.11329902941459
PWY-7805:_(aminomethyl)phosphonate_degradation,OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),76.71728515625,0.0,3,4.939208984375,5.67333984375,5.3062744140625,71.4110107421875,93.08333916762668
NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis,75.99755859375,2.7856826948114315,6,2.216064453125,8.41357421875,5.3148193359375,70.6827392578125,93.00659200863515
