base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
Alistipes_timonensis	Blautia_hydrogenotrophica	0.806549072265625	25.5003662109375	26.53173828125	0.0	27.3382873535156	3	26.53173828125	3289.5380074917703
Alistipes_timonensis	Gordonibacter_pamelaeae	0.806549072265625	14.6438446044922	29.0910339355469		29.8975830078125	1	29.0910339355469	3606.8523213137114
Alkalibacterium_thalassium	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Alkaliphilus_oremlandii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Allisonella_histaminiformans	Blautia_hydrogenotrophica	1.044809977213539	25.5003662109375	25.597722371419266	0.8927132248541835	26.6425323486328	3	25.597722371419266	2449.988316505862
Allisonella_histaminiformans	Gordonibacter_pamelaeae	1.58474731445312	14.6438446044922	25.2702026367188		26.8549499511719	1	25.2702026367188	1594.5887654297296
Alloprevotella_rava	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Alloprevotella_tannerae	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaerococcus_hydrogenalis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaerococcus_lactolyticus	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaerococcus_prevotii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaerococcus_tetradius	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaerocolumna_aminovalerica	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaeroglobus_geminatus	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaerolineaceae_bacterium_oral_taxon_439	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaeromassilibacillus_sp_An172	Gordonibacter_pamelaeae	0.120193481445312	14.6438446044922	25.0034027099609		25.1235961914062	1	25.0034027099609	20802.627904024426
Anaeromassilibacillus_sp_An250	Blautia_hydrogenotrophica	0.14321390787760416	25.5003662109375	26.918924967447936	0.458116515506969	27.062138875325502	3	26.918924967447936	18796.306424690145
Anaeromassilibacillus_sp_An250	Gordonibacter_pamelaeae	0.262969970703125	14.6438446044922	27.8124542236328		28.0754241943359	1	27.8124542236328	10576.285250087032
Anaerosporobacter_mobilis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaerostipes_hadrus	Bifidobacterium_longum	3.91441345214844	12.8123168945312	25.6821746826172		29.5965881347656	1	25.6821746826172	656.0925409788136
Anaerostipes_hadrus	Blautia_hydrogenotrophica	5.442281087239587	25.5003662109375	29.75447082519533	1.1905825508373076	35.1967519124349	3	29.75447082519533	546.7279316932025
Anaerostipes_hadrus	Gordonibacter_pamelaeae	4.34884643554688	14.6438446044922	24.88818359375		29.2370300292969	1	24.88818359375	572.2939166192986
Anaerostipes_hadrus	Mogibacterium_diversum	3.91441345214844	21.3988952636719	25.3093109130859		29.2237243652344	1	25.3093109130859	646.5671350887778
Anaerostipes_hadrus	Peptostreptococcus_stomatis	8.06358337402344	17.6740570068359	26.2167053222656		34.2802886962891	1	26.2167053222656	325.1247504517883
Anaerostipes_sp_494a	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Anaerostipes_sp_992a	Blautia_hydrogenotrophica	0.946258544921875	25.5003662109375	26.115966796875	0.0	27.0622253417969	3	26.115966796875	2759.918728029155
Anaerostipes_sp_992a	Gordonibacter_pamelaeae	0.946258544921875	14.6438446044922	25.8383178710938		26.7845764160156	1	25.8383178710938	2730.5769664914424
Anaerotignum_lactatifermentans	Blautia_hydrogenotrophica	0.164825439453125	25.5003662109375	25.505615234375	0.0	25.6704406738281	3	25.505615234375	15474.319570449916
Anaerotignum_lactatifermentans	Gordonibacter_pamelaeae	0.164825439453125	14.6438446044922	24.8858642578125		25.0506896972656	1	24.8858642578125	15098.315126828365
Anaerotruncus_colihominis	Gordonibacter_pamelaeae	4.67929077148438	14.6438446044922	28.1106567382812		32.7899475097656	1	28.1106567382812	600.74609831019
Anaerotruncus_sp_CAG_528	Blautia_hydrogenotrophica	0.0782623291015625	25.5003662109375	26.6619873046875	0.0	26.7402496337891	3	26.6619873046875	34067.45954377072
Anaerotruncus_sp_CAG_528	Gordonibacter_pamelaeae	0.0782623291015625	14.6438446044922	25.4027709960938		25.4810333251953	1	25.4027709960938	32458.49093390531
Arcobacter_butzleri	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Arcobacter_cryaerophilus	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Arthrospira_platensis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Asaccharobacter_celatus	Gordonibacter_pamelaeae	4.67478942871094	14.6438446044922	26.7557220458984		31.4305114746094	1	26.7557220458984	572.3406894345659
