cohort	disease	rank_in_cohort	base	contributing	total_IG_mean	base_IG_1D_mean	IG_2D_added_mean	ig_gain_pct
JieZ_2017	ACVD; control	5	Actinomyces_graevenitzii	Streptococcus_mitis	57.6347401936849	21.0833435058594	36.5513966878255	173.36622475304867
JieZ_2017	ACVD; control	6	Oribacterium_sinus	Streptococcus_mitis	56.2880096435547	26.8056335449219	29.4823760986328	109.98574627689776
JieZ_2017	ACVD; control	7	PWY-5695:_urate_biosynthesis/inosine_5'-phosphate_degradation	Streptococcus_mitis	56.2727813720703	11.85810852050785	44.4146728515625	374.55107426913935
JieZ_2017	ACVD; control	8	Actinomyces_sp_oral_taxon_181	Streptococcus_mitis	55.1521759033203	26.2251281738281	28.9270477294922	110.3027887518984
JieZ_2017	ACVD; control	9	PWY-6609:_adenine_and_adenosine_salvage_III	Streptococcus_mitis	55.0367126464844	19.53892517089845	35.49778747558595	181.6772783820107
JieZ_2017	ACVD; control	10	Lactobacillus_fermentum	Streptococcus_mitis	55.01674397786456	24.3880615234375	30.628682454427064	125.58883544308011
JieZ_2017	ACVD; control	11	PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	Streptococcus_mitis	54.5964279174805	16.5963134765625	38.000114440918	228.9672010267954
JieZ_2017	ACVD; control	12	Streptococcus_anginosus_group	DTDPRHAMSYN-PWY:_dTDP-L-rhamnose_biosynthesis_I	54.0443725585938	28.2601013183594	25.7842712402344	91.23913233631416
JieZ_2017	ACVD; control	13	Actinomyces_sp_S6_Spd3	Streptococcus_mitis	54.0145263671875	25.7760925292969	28.2384338378906	109.55281063565016
JieZ_2017	ACVD; control	14	PWY-5686:_UMP_biosynthesis	Streptococcus_mitis	53.6830596923828	14.996612548828123	38.6864471435547	257.96790453573306
JieZ_2017	ACVD; control	15	Actinomyces_graevenitzii	Streptococcus_anginosus_group	52.9620208740234	21.0833435058594	31.8786773681641	151.20313985921874
JieZ_2017	ACVD; control	16	PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis	Streptococcus_mitis	52.8679351806641	19.3740997314453	33.49383544921875	172.8794416953284
JieZ_2017	ACVD; control	17	PWY-6317:_galactose_degradation_I_(Leloir_pathway)	Streptococcus_mitis	52.57798767089843	18.751546223958332	33.8264414469401	180.3928115736983
JieZ_2017	ACVD; control	18	PWY-6527:_stachyose_degradation	Streptococcus_mitis	52.300572713216134	21.1423950195312	31.1581776936849	147.37298052042445
JieZ_2017	ACVD; control	19	PWY-5097:_L-lysine_biosynthesis_VI	Streptococcus_mitis	52.1615905761719	13.6273956298828	38.53419494628905	282.7700610804124
JieZ_2017	ACVD; control	20	RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	Streptococcus_mitis	52.15228271484377	20.922149658203136	31.230133056640636	149.26828058700917
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	1	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	Escherichia_coli	61.4085388183594	32.1055297851562	29.3030090332031	91.27090949532057
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	2	Escherichia_coli	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	61.4085388183594	21.1271362304688	40.2814025878906	190.66191531343563
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	3	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	PWY-6609:_adenine_and_adenosine_salvage_III	60.0966796875	32.1055297851562	27.9911499023438	87.18482482505348
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	4	Escherichia_coli	TRNA-CHARGING-PWY:_tRNA_charging	58.8833618164062	24.16751098632815	34.71585083007815	143.64677789830043
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	5	Escherichia_coli	Bacteroides_pectinophilus	57.192626953125	21.1271362304688	36.0654907226562	170.70695398197813
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	6	Escherichia_coli	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	57.1156311035156	21.1271362304688	35.9884948730469	170.3425134408211
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	7	Escherichia_coli	PWY0-1586:_peptidoglycan_maturation_(meso-diaminopimelate_containing)	56.6046142578125	21.1271362304688	35.4774780273438	167.92374338070226
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	8	Escherichia_coli	PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	56.0086669921875	21.1271362304688	34.8815307617188	165.10297648109025
