disease	base	contributing	n_cohorts	cohorts	mean_total_ig	min_total_ig	max_total_ig	mean_ig_gain_pct
IBD; control	Gemmiger_formicilis	Parvimonas_micra	2	HallAB_2017, NielsenHB_2014	30.50296783447265	25.8236083984375	35.1823272705078	36563.94729806972
IBD; control	PWY-6385:_peptidoglycan_biosynthesis_III_(mycobacteria)	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	30.4780960083008	26.5456085205078	34.4105834960938	762110.6840449681
IBD; control	1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	30.13922119140625	26.9189453125	33.3594970703125	2450.4934859180894
IBD; control	Faecalibacterium_prausnitzii	Coprococcus_eutactus	2	HallAB_2017, NielsenHB_2014	30.09995269775388	28.8205413818359	31.379364013671864	10058.638871110983
IBD; control	PWY-6123:_inosine-5'-phosphate_biosynthesis_I	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	30.090454101562525	26.1412963867188	34.03961181640625	251709.8095524606
IBD; control	Megasphaera_micronuciformis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	29.7269058227539	28.4377288818359	31.0160827636719	15880.180603890109
IBD; control	Holdemania_filiformis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	29.612152099609403	26.9527282714844	32.2715759277344	2205.9460918828336
IBD; control	Veillonella_atypica	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	29.31396865844725	27.9747161865234	30.6532211303711	1438.1229704910033
IBD; control	Agathobaculum_butyriciproducens	Oscillibacter_sp_CAG_241	2	HallAB_2017, NielsenHB_2014	29.207588195800746	26.3521575927734	32.0630187988281	24192.640332372637
IBD; control	Oscillibacter_sp_57_20	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	28.87206268310545	25.6914672851562	32.0526580810547	18487.36907394351
IBD; control	Agathobaculum_butyriciproducens	Odoribacter_splanchnicus	2	HallAB_2017, NielsenHB_2014	28.84822845458985	25.3704986572266	32.3259582519531	23489.59573692629
IBD; control	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	Eubacterium_hallii	2	HallAB_2017, NielsenHB_2014	28.46250915527345	28.442138671875	28.4828796386719	932.3628042330729
IBD; control	PWY-4242:_pantothenate_and_coenzyme_A_biosynthesis_III	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	28.4247055053711	26.2387847900391	30.6106262207031	11810.277238767501
IBD; control	Bacteroides_nordii	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	28.2553253173828	27.0554809570312	29.4551696777344	1177.4300054943787
IBD; control	PWY-5667:_CDP-diacylglycerol_biosynthesis_I	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	28.23678588867185	25.4508361816406	31.0227355957031	2544.0460225038246
IBD; control	Bacteroides_caccae	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	28.231391906738324	25.4176635742188	31.04512023925785	16419.619503993228
