data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
functions,PWY0-1061:_superpathway_of_L-alanine_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,5.176,113.706,108.53,2096.99,2/28
functions,PWY-7165:_L-ascorbate_biosynthesis_VIII_(engineered_pathway),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.479,109.964,108.486,7336.26,4/28
functions,ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis,PWY-2941:_L-lysine_biosynthesis_II,0.67,109.149,108.479,16192.82,2/28
functions,URSIN-PWY:_ureide_biosynthesis,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.34,109.799,108.459,8096.39,4/28
functions,P621-PWY:_nylon-6_oligomer_degradation,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.76,109.213,108.453,14274.52,2/28
functions,PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis,VALSYN-PWY:_L-valine_biosynthesis,2.2,110.641,108.441,4928.15,4/28
functions,PWY-621:_sucrose_degradation_III_(sucrose_invertase),ORNDEG-PWY:_superpathway_of_ornithine_degradation,3.675,112.109,108.434,2950.71,10/28
functions,PWY-5654:_2-amino-3-carboxymuconate_semialdehyde_degradation_to_2-hydroxypentadienoate,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,0.677,109.063,108.386,16018.38,4/28
functions,PWY-7315:_dTDP-N-acetylthomosamine_biosynthesis,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,3.393,111.752,108.359,3193.67,4/28
functions,PHOSLIPSYN-PWY:_superpathway_of_phospholipid_biosynthesis_I_(bacteria),ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.7,109.051,108.351,15474.41,2/28
functions,COA-PWY-1:_superpathway_of_coenzyme_A_biosynthesis_III_(mammals),ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.918,109.226,108.308,11798.7,2/28
functions,PWY-7396:_butanol_and_isobutanol_biosynthesis_(engineered),ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.928,110.236,108.308,5617.68,2/28
functions,SER-GLYSYN-PWY:_superpathway_of_L-serine_and_glycine_biosynthesis_I,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.409,109.711,108.302,7687.44,4/28
functions,PWY-7992:_superpathway_of_menaquinol-8_biosynthesis_III,ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.579,110.85,108.27,4197.59,2/28
functions,PENTOSE-P-PWY:_pentose_phosphate_pathway,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.891,109.101,108.211,12148.3,12/28
functions,ANAEROFRUCAT-PWY:_homolactic_fermentation,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.104,109.312,108.207,9799.19,4/28
functions,PWY-8073:_lipid_IVA_biosynthesis_(P._putida),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,2.091,110.266,108.175,5172.79,6/28
functions,"GLCMANNANAUT-PWY:_superpathway_of_N-acetylglucosamine,_N-acetylmannosamine_and_N-acetylneuraminate_degradation",P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,0.524,108.66,108.136,20645.42,10/28
functions,PWY-7282:_4-amino-2-methyl-5-diphosphomethylpyrimidine_biosynthesis_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,4.519,112.607,108.088,2391.96,8/28
functions,PWY-1269:_CMP-3-deoxy-D-manno-octulosonate_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.671,108.73,108.058,16092.83,6/28
functions,PWY-5654:_2-amino-3-carboxymuconate_semialdehyde_degradation_to_2-hydroxypentadienoate,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.197,108.186,107.989,54793.68,8/28
functions,PWY-6920:_6-gingerol_analog_biosynthesis_(engineered),ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.416,110.373,107.958,4469.31,2/28
functions,PWY-3001:_superpathway_of_L-isoleucine_biosynthesis_I,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,2.404,110.354,107.949,4489.85,4/28
functions,"PWY-7383:_anaerobic_energy_metabolism_(invertebrates,_cytosol)",ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.379,108.303,107.924,28483.12,4/28
functions,PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I,ORNDEG-PWY:_superpathway_of_ornithine_degradation,4.053,111.965,107.912,2662.42,6/28
functions,PWY-6210:_2-aminophenol_degradation,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,5.385,113.296,107.911,2003.82,2/28
functions,ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis,P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate,0.67,108.542,107.873,16102.26,2/28
functions,PWY0-1261:_anhydromuropeptides_recycling_I,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,0.621,108.338,107.717,17343.04,4/28
functions,PWY-6270:_isoprene_biosynthesis_I,ORNDEG-PWY:_superpathway_of_ornithine_degradation,11.049,118.759,107.71,974.86,16/28
functions,PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,5.849,113.508,107.659,1840.63,12/28
functions,PWY-3801:_sucrose_degradation_II_(sucrose_synthase),ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.991,109.634,107.643,5406.57,2/28
functions,PWY0-1586:_peptidoglycan_maturation_(meso-diaminopimelate_containing),ORNDEG-PWY:_superpathway_of_ornithine_degradation,4.822,112.446,107.623,2231.89,8/28
functions,PWY-6823:_molybdopterin_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.749,109.369,107.62,6153.14,2/28
functions,PWY-6165:_chorismate_biosynthesis_II_(archaea),"PWY-7117:_C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type",17.344,124.937,107.593,620.34,2/28
functions,OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,9.741,117.326,107.585,1104.42,16/28
functions,PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,5.257,112.838,107.581,2046.4,6/28
functions,PWY-6545:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_III,ORNDEG-PWY:_superpathway_of_ornithine_degradation,8.1,115.676,107.576,1328.04,2/28
functions,HISDEG-PWY:_L-histidine_degradation_I,PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine),0.045,107.592,107.548,240718.58,2/28
functions,GLUDEG-I-PWY:_GABA_shunt,ORNDEG-PWY:_superpathway_of_ornithine_degradation,3.258,110.78,107.522,3300.61,6/28
functions,RUMP-PWY:_formaldehyde_oxidation_I,ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.1,109.601,107.501,5118.84,6/28
functions,RUMP-PWY:_formaldehyde_oxidation_I,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.15,108.634,107.484,9347.23,4/28
functions,"PWY-7374:_1,4-dihydroxy-6-naphthoate_biosynthesis_I",ORNDEG-PWY:_superpathway_of_ornithine_degradation,6.861,114.283,107.421,1565.58,10/28
functions,PWY-7210:_pyrimidine_deoxyribonucleotides_biosynthesis_from_CTP,ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.678,109.098,107.42,6402.69,2/28
functions,PWY-6470:_peptidoglycan_biosynthesis_V_(&beta;-lactam_resistance),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.039,108.386,107.348,10336.08,4/28
functions,"PWY-7388:_octanoyl-[acyl-carrier_protein]_biosynthesis_(mitochondria,_yeast)",P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,8.634,115.949,107.315,1243.0,2/28
functions,PWY-6185:_4-methylcatechol_degradation_(ortho_cleavage),ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.075,109.331,107.256,5168.01,8/28
functions,PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,2.094,109.286,107.192,5118.71,4/28
functions,PWY1ZNC-1:_assimilatory_sulfate_reduction_IV,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,2.6,109.769,107.168,4121.32,10/28
functions,PWY-7688:_dTDP-&alpha;-D-ravidosamine_and_dTDP-4-acetyl-&alpha;-D-ravidosamine_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,4.036,111.161,107.124,2653.93,8/28
functions,PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I,PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate,1.163,108.273,107.11,9213.01,4/28
functions,P42-PWY:_incomplete_reductive_TCA_cycle,PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine),11.129,118.237,107.108,962.44,4/28
