data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
taxa,Neglecta_timonensis,Fusobacterium_nucleatum,26.018,444.879,418.861,1609.92,2/28
taxa,Dorea_formicigenerans,Fusobacterium_nucleatum,5.016,423.709,418.693,8346.55,14/28
taxa,Anaerotruncus_colihominis,Fusobacterium_nucleatum,0.558,419.251,418.693,75040.89,16/28
taxa,Firmicutes_bacterium_AF16_15,Fusobacterium_nucleatum,6.001,424.681,418.679,6976.64,8/28
taxa,GGB9602_SGB15031,Fusobacterium_nucleatum,3.073,421.717,418.644,13624.29,18/28
taxa,Faecalicatena_contorta,Fusobacterium_nucleatum,5.095,423.605,418.509,8213.84,22/28
taxa,Ruminococcaceae_unclassified_SGB15260,Fusobacterium_nucleatum,3.3,421.803,418.503,12680.32,4/28
taxa,Parabacteroides_distasonis,Fusobacterium_nucleatum,1.956,420.43,418.474,21391.98,12/28
taxa,Clostridium_sp_AF36_4,Fusobacterium_nucleatum,10.602,428.897,418.295,3945.4,22/28
taxa,Candidatus_Alloruminococcus_vanvlietii,Fusobacterium_nucleatum,19.074,437.292,418.218,2192.61,2/28
taxa,Alistipes_sp_AF17_16,Fusobacterium_nucleatum,3.786,421.992,418.206,11047.04,12/28
taxa,Blautia_glucerasea,Fusobacterium_nucleatum,1.422,419.599,418.177,29410.29,2/28
taxa,GGB4585_SGB6340,Fusobacterium_nucleatum,9.825,427.883,418.058,4255.26,22/28
taxa,Alistipes_ihumii,Fusobacterium_nucleatum,18.127,436.158,418.032,2306.18,22/28
taxa,Lactococcus_lactis,Fusobacterium_nucleatum,2.991,421.017,418.027,13977.96,22/28
