fold,test_cohort,run,base,contributing,base_IG_1D,contributing_IG_1D,IG_2D_added,total_IG
0,Public_study__FengQ_2015,0,Parvimonas_micra,Fusobacterium_nucleatum,348.864501953125,410.904541015625,169.7451171875,518.609619140625
0,Public_study__FengQ_2015,0,Lachnospira_SGB5076,Parvimonas_micra,15.091796875,348.864501953125,344.0830078125,359.1748046875
0,Public_study__FengQ_2015,0,Eubacterium_siraeum,Parvimonas_micra,4.630859375,348.864501953125,350.75341796875,355.38427734375
0,Public_study__FengQ_2015,0,Abiotrophia_sp_HMSC24B09,Parvimonas_micra,0.049072265625,348.864501953125,360.593994140625,360.64306640625
0,Public_study__FengQ_2015,0,Veillonella_dispar,Parvimonas_micra,0.994384765625,348.864501953125,354.951416015625,355.94580078125
0,Public_study__FengQ_2015,0,GGB9642_SGB15119,Parvimonas_micra,22.305419921875,348.864501953125,343.7099609375,366.015380859375
0,Public_study__FengQ_2015,0,Fusobacterium_naviforme,Parvimonas_micra,26.969970703125,348.864501953125,334.124267578125,361.09423828125
0,Public_study__FengQ_2015,0,Bacteroides_salyersiae,Parvimonas_micra,15.010986328125,348.864501953125,344.014892578125,359.02587890625
0,Public_study__FengQ_2015,0,Enterococcus_gallinarum,Parvimonas_micra,6.66162109375,348.864501953125,351.077880859375,357.739501953125
0,Public_study__FengQ_2015,0,Eubacteriaceae_bacterium,Parvimonas_micra,0.0341796875,348.864501953125,356.840576171875,356.874755859375
0,Public_study__FengQ_2015,0,GGB4588_SGB6347,Parvimonas_micra,7.49609375,348.864501953125,348.84716796875,356.34326171875
0,Public_study__FengQ_2015,0,Porphyromonas_asaccharolytica,Parvimonas_micra,66.22119140625,348.864501953125,314.9091796875,381.13037109375
0,Public_study__FengQ_2015,0,Parvimonas_micra,Porphyromonas_asaccharolytica,348.864501953125,66.22119140625,32.265869140625,381.13037109375
0,Public_study__FengQ_2015,0,Blautia_massiliensis,Parvimonas_micra,6.358642578125,348.864501953125,358.6572265625,365.015869140625
0,Public_study__FengQ_2015,0,Clostridia_bacterium_UC5_1_1D1,Parvimonas_micra,13.84375,348.864501953125,343.355712890625,357.199462890625
0,Public_study__FengQ_2015,0,Clostridium_sp_AF27_2AA,Parvimonas_micra,13.1484375,348.864501953125,350.501708984375,363.650146484375
0,Public_study__FengQ_2015,0,Bacteroides_caccae,Parvimonas_micra,5.234619140625,348.864501953125,350.049072265625,355.28369140625
0,Public_study__FengQ_2015,0,Catabacter_hongkongensis,Parvimonas_micra,20.302001953125,348.864501953125,334.779052734375,355.0810546875
0,Public_study__FengQ_2015,0,Eisenbergiella_massiliensis,Parvimonas_micra,1.98291015625,348.864501953125,357.96875,359.95166015625
0,Public_study__FengQ_2015,0,Blautia_sp_AF19_10LB,Parvimonas_micra,14.861572265625,348.864501953125,350.582275390625,365.44384765625
0,Public_study__FengQ_2015,0,Butyricimonas_virosa,Parvimonas_micra,20.4658203125,348.864501953125,338.5400390625,359.005859375
0,Public_study__FengQ_2015,0,Paraprevotella_clara,Parvimonas_micra,11.8125,348.864501953125,348.984619140625,360.797119140625
0,Public_study__FengQ_2015,0,Clostridium_sp_AF20_17LB,Parvimonas_micra,6.910888671875,348.864501953125,357.01611328125,363.927001953125
